JIS X 0208 由来の Unicode 文字全部


Unicode® Standard Annex #11
East Asian Width
http://www.unicode.org/reports/tr11/


属性		意味
--------------------------------
F   Fullwidth	常に全角 (2 幅)
H   Halfwidth	常に半角 (1 幅)
W   Wide	全角で表示される
Na  Narrow	半角で表示される
A   Ambiguous	環境依存
N   Neutral	幅の概念がない


JIS UNICODE 属{字}
------------------
322B U+9EC4 W {黄}
322C U+5CA1 W {岡}
322D U+6C96 W {沖}
322E U+837B W {荻}
322F U+5104 W {億}
32210 U+5C4B W {屋}
32211 U+61B6 W {憶}
32212 U+81C6 W {臆}
32213 U+6876 W {桶}
32214 U+7261 W {牡}
32215 U+4E59 W {乙}
32216 U+4FFA W {俺}
32217 U+5378 W {卸}
32218 U+6069 W {恩}
32219 U+6E29 W {温}
3221A U+7A4F W {穏}
3221B U+97F3 W {音}
3221C U+4E0B W {下}
3221D U+5316 W {化}
3221E U+4EEE W {仮}
3221F U+4F55 W {何}
3240 U+4F3D W {伽}
3241 U+4FA1 W {価}
3242 U+4F73 W {佳}
3243 U+52A0 W {加}
3244 U+53EF W {可}
3245 U+5609 W {嘉}
3246 U+590F W {夏}
3247 U+5AC1 W {嫁}
3248 U+5BB6 W {家}
3249 U+5BE1 W {寡}
324A U+79D1 W {科}
324B U+6687 W {暇}
324C U+679C W {果}
324D U+67B6 W {架}
324E U+6B4C W {歌}
324F U+6CB3 W {河}
3250 U+706B W {火}
3251 U+73C2 W {珂}
3252 U+798D W {禍}
3253 U+79BE W {禾}
3254 U+7A3C W {稼}
3255 U+7B87 W {箇}
3256 U+82B1 W {花}
3257 U+82DB W {苛}
3258 U+8304 W {茄}
3259 U+8377 W {荷}
325A U+83EF W {華}
325B U+83D3 W {菓}
325C U+8766 W {蝦}
325D U+8AB2 W {課}
325E U+5629 W {嘩}
325F U+8CA8 W {貨}
3260 U+8FE6 W {迦}
3261 U+904E W {過}
3262 U+971E W {霞}
3263 U+868A W {蚊}
3264 U+4FC4 W {俄}
3265 U+5CE8 W {峨}
3266 U+6211 W {我}
3267 U+7259 W {牙}
3268 U+753B W {画}
3269 U+81E5 W {臥}
326A U+82BD W {芽}
326B U+86FE W {蛾}
326C U+8CC0 W {賀}
326D U+96C5 W {雅}
326E U+9913 W {餓}
326F U+99D5 W {駕}
3270 U+4ECB W {介}
3271 U+4F1A W {会}
3272 U+89E3 W {解}
3273 U+56DE W {回}
3274 U+584A W {塊}
3275 U+58CA W {壊}
3276 U+5EFB W {廻}
3277 U+5FEB W {快}
3278 U+602A W {怪}
3279 U+6094 W {悔}
327A U+6062 W {恢}
327B U+61D0 W {懐}
327C U+6212 W {戒}
327D U+62D0 W {拐}
327E U+6539 W {改}
3321 U+9B41 W {魁}
3322 U+6666 W {晦}
3323 U+68B0 W {械}
3324 U+6D77 W {海}
3325 U+7070 W {灰}
3326 U+754C W {界}
3327 U+7686 W {皆}
3328 U+7D75 W {絵}
3329 U+82A5 W {芥}
332A U+87F9 W {蟹}
332B U+958B W {開}
332C U+968E W {階}
332D U+8C9D W {貝}
332E U+51F1 W {凱}
332F U+52BE W {劾}
3330 U+5916 W {外}
3331 U+54B3 W {咳}
3332 U+5BB3 W {害}
3333 U+5D16 W {崖}
3334 U+6168 W {慨}
3335 U+6982 W {概}
3336 U+6DAF W {涯}
3337 U+788D W {碍}
3338 U+84CB W {蓋}
3339 U+8857 W {街}
333A U+8A72 W {該}
333B U+93A7 W {鎧}
333C U+9AB8 W {骸}
333D U+6D6C W {浬}
333E U+99A8 W {馨}
333F U+86D9 W {蛙}
3340 U+57A3 W {垣}
3341 U+67FF W {柿}
3342 U+86CE W {蛎}
3343 U+920E W {鈎}
3344 U+5283 W {劃}
3345 U+5687 W {嚇}
3346 U+5404 W {各}
3347 U+5ED3 W {廓}
3348 U+62E1 W {拡}
3349 U+64B9 W {撹}
334A U+683C W {格}
334B U+6838 W {核}
334C U+6BBB W {殻}
334D U+7372 W {獲}
334E U+78BA W {確}
334F U+7A6B W {穫}
3350 U+899A W {覚}
3351 U+89D2 W {角}
3352 U+8D6B W {赫}
3353 U+8F03 W {較}
3354 U+90ED W {郭}
3355 U+95A3 W {閣}
3356 U+9694 W {隔}
3357 U+9769 W {革}
3358 U+5B66 W {学}
3359 U+5CB3 W {岳}
335A U+697D W {楽}
335B U+984D W {額}
335C U+984E W {顎}
335D U+639B W {掛}
335E U+7B20 W {笠}
335F U+6A2B W {樫}
3360 U+6A7F W {橿}
3361 U+68B6 W {梶}
3362 U+9C0D W {鰍}
3363 U+6F5F W {潟}
3364 U+5272 W {割}
3365 U+559D W {喝}
3366 U+6070 W {恰}
3367 U+62EC W {括}
3368 U+6D3B W {活}
3369 U+6E07 W {渇}
336A U+6ED1 W {滑}
336B U+845B W {葛}
336C U+8910 W {褐}
336D U+8F44 W {轄}
336E U+4E14 W {且}
336F U+9C39 W {鰹}
3370 U+53F6 W {叶}
3371 U+691B W {椛}
3372 U+6A3A W {樺}
3373 U+9784 W {鞄}
3374 U+682A W {株}
3375 U+515C W {兜}
3376 U+7AC3 W {竃}
3377 U+84B2 W {蒲}
3378 U+91DC W {釜}
3379 U+938C W {鎌}
337A U+565B W {噛}
337B U+9D28 W {鴨}
337C U+6822 W {栢}
337D U+8305 W {茅}
337E U+8431 W {萱}
3421 U+7CA5 W {粥}
3422 U+5208 W {刈}
3423 U+82C5 W {苅}
3424 U+74E6 W {瓦}
3425 U+4E7E W {乾}
3426 U+4F83 W {侃}
3427 U+51A0 W {冠}
3428 U+5BD2 W {寒}
3429 U+520A W {刊}
342A U+52D8 W {勘}
342B U+52E7 W {勧}
342C U+5DFB W {巻}
342D U+559A W {喚}
342E U+582A W {堪}
342F U+59E6 W {姦}
3430 U+5B8C W {完}
3431 U+5B98 W {官}
3432 U+5BDB W {寛}
3433 U+5E72 W {干}
3434 U+5E79 W {幹}
3435 U+60A3 W {患}
3436 U+611F W {感}
3437 U+6163 W {慣}
3438 U+61BE W {憾}
3439 U+63DB W {換}
343A U+6562 W {敢}
343B U+67D1 W {柑}
343C U+6853 W {桓}
343D U+68FA W {棺}
343E U+6B3E W {款}
343F U+6B53 W {歓}
3440 U+6C57 W {汗}
3441 U+6F22 W {漢}
3442 U+6F97 W {澗}
3443 U+6F45 W {潅}
3444 U+74B0 W {環}
3445 U+7518 W {甘}
3446 U+76E3 W {監}
3447 U+770B W {看}
